Rank,NOC,Gold,Silver,Bronze,Total
1,China,19,15,11,45
2,United States,18,26,25,69
3,France*,12,14,18,44
4,Australia,12,11,8,31
5,Great Britain,10,12,15,37
6,South Korea,10,7,7,24
7,Japan,8,5,10,23
8,Italy,7,9,5,21
9,Netherlands,6,5,4,15
10,Germany,5,5,2,12
11,Canada,4,4,8,16
12,Romania,3,3,1,7
13,Hungary,3,2,2,7
14,Ireland,3,0,3,6
15,New Zealand,2,4,1,7
16,Sweden,2,3,2,7
17,Ukraine,2,1,2,5
18,Croatia,2,1,1,4
19,Belgium,2,0,3,5
20,Hong Kong,2,0,2,4
21,Azerbaijan,2,0,0,2
21,Philippines,2,0,0,2
21,Serbia,2,0,0,2
24,Brazil,1,4,5,10
25,Israel,1,4,1,6
–,Individual Neutral Athletes[A],1,3,0,4
26,Spain,1,2,5,8
27,Georgia,1,2,1,4
28,Switzerland,1,1,4,6
29,Kazakhstan,1,1,2,4
29,South Africa,1,1,2,4
31,Chinese Taipei,1,0,2,3
31,Uzbekistan,1,0,2,3
33,Czech Republic,1,0,1,2
33,Guatemala,1,0,1,2
35,Algeria,1,0,0,1
35,Argentina,1,0,0,1
35,Chile,1,0,0,1
35,Dominica,1,0,0,1
35,Ecuador,1,0,0,1
35,Norway,1,0,0,1
35,Saint Lucia,1,0,0,1
35,Slovenia,1,0,0,1
35,Uganda,1,0,0,1
44,Mexico,0,2,1,3
44,North Korea,0,2,1,3
46,Greece,0,1,4,5
47,Poland,0,1,3,4
48,Jamaica,0,1,1,2
48,Kosovo,0,1,1,2
48,Turkey,0,1,1,2
51,Armenia,0,1,0,1
51,Denmark,0,1,0,1
51,Ethiopia,0,1,0,1
51,Fiji,0,1,0,1
51,Mongolia,0,1,0,1
51,Tunisia,0,1,0,1
57,India,0,0,3,3
57,Tajikistan,0,0,3,3
59,Dominican Republic,0,0,2,2
59,Moldova,0,0,2,2
61,Austria,0,0,1,1
61,Cape Verde,0,0,1,1
61,Cuba,0,0,1,1
61,Egypt,0,0,1,1
61,Grenada,0,0,1,1
61,Indonesia,0,0,1,1
61,Lithuania,0,0,1,1
61,Malaysia,0,0,1,1
61,Portugal,0,0,1,1
61,Slovakia,0,0,1,1
Totals (70 entries),Totals (70 entries),159,160,188,507
